primary_product_code,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,definition,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,ai_device_authorizations,linked_recall_records,first_ai_authorization_date,latest_ai_authorization_date,source_snapshot_date
QPN,Software Algorithm Device To Assist Users In Digital Pathology,2,864.3750,PA,Pathology,PA,"A software algorithm device to assist users in digital pathology is an in vitro diagnostic device intended to evaluate acquired scanned pathology whole slide images. The device uses software algorithms to provide information to the user about presence, location, and characteristics of areas of the image with clinical implications. Information from this device is intended to assist the user in determining a pathology diagnosis.",N,N,N,N,Ineligible,2,0,2021-09-21,2025-01-24,2026-07-31
QZB,Software Controlled Endoscope And Instrument Holder,2,876.1500,GU,"Gastroenterology, Urology",SU,To hold and position endoscopes and instruments.,N,N,N,N,Ineligible,2,0,2025-03-14,2025-06-27,2026-07-31
QZF,Gastrointestinal Capsule Endoscopy Analysis Software Device,2,876.1540,GU,"Gastroenterology, Urology",GU,"A gastrointestinal capsule endoscopy analysis software device is used to analyze pre-recorded capsule endoscopy videos of the gastrointestinal tract that are suspected of containing lesions. This device uses software algorithms to identify images and areas of interest as outputs to aid the clinician in analyzing suspected lesions, for clinician review of device outputs. The device may contain hardware to support interfacing with a capsule imaging system.",N,N,N,N,Ineligible,2,0,2023-12-12,2026-03-12,2026-07-31
QZW,Over-The-Counter Device To Assess Risk Of Sleep Apnea,2,868.2378,AN,Anesthesiology,AN,"An over-the-counter device to assess risk of sleep apnea is intended to provide a notification of the risk of sleep apnea in users who have not been  previously diagnosed with sleep apnea. This device uses software algorithms to analyze input sensor signals and provide a risk assessment for sleep apnea. It is not intended to provide a standalone diagnosis, replace traditional methods of diagnosis (e.g., polysomnography), assist clinicians in diagnosing sleep disorders, or be used as an apnea monitor.",N,N,N,N,Ineligible,2,0,2024-02-06,2024-09-13,2026-07-31
SAO,Radiology Software For Opportunistic Evaluation Of Low Bone Mineral Density,2,892.1171,RA,Radiology,RA,This device is software which opportunistically assesses radiological images to estimate bone mineral density (BMD) intended to assist in a healthcare professional's decision to evaluate patients for possible low BMD within a bone health screening program. The software employs an algorithm that estimates  BMD using eligible radiological image data obtained for other clinical purposes.,N,N,N,N,Ineligible,2,0,2024-04-09,2025-09-02,2026-07-31
SAT,Pulmonary Hypertension Machine Learning-Based Notification Software,2,870.2380,CV,Cardiovascular,CV,Pulmonary hypertension machine learning-based notification software employs machine learning techniques to suggest the likelihood of pulmonary hypertension for further referral or diagnostic follow-up.,N,N,N,N,Ineligible,2,0,2024-04-05,2026-03-28,2026-07-31
BXQ,Rhinoanemometer (Measurement Of Nasal Decongestion),2,868.1800,AN,Anesthesiology,AN,,N,N,N,Y,Eligible,1,0,2022-10-05,2022-10-05,2026-07-31
BZD,"Ventilator, Non-Continuous (Respirator)",2,868.5905,AN,Anesthesiology,AN,,N,N,N,N,Eligible,1,0,2025-12-05,2025-12-05,2026-07-31
BZG,"Spirometer, Diagnostic",2,868.1840,AN,Anesthesiology,AN,,N,N,N,Y,Eligible,1,0,2020-01-02,2020-01-02,2026-07-31
BZQ,"Monitor, Breathing Frequency",2,868.2375,AN,Anesthesiology,AN,,N,N,N,Y,Eligible,1,0,2025-02-28,2025-02-28,2026-07-31
DPT,"Probe, Blood-Flow, Extravascular",2,870.2120,CV,Cardiovascular,CV,,N,N,N,Y,Eligible,1,0,2017-08-17,2017-08-17,2026-07-31
DQA,Oximeter,2,870.2700,CV,Cardiovascular,AN,,N,N,N,N,Eligible,1,0,2019-03-29,2019-03-29,2026-07-31
DSB,"Plethysmograph, Impedance",2,870.2770,CV,Cardiovascular,CV,,N,N,N,Y,Eligible,1,0,2017-12-22,2017-12-22,2026-07-31
GEH,"Unit, Cryosurgical, Accessories",2,878.4350,SU,"General, Plastic Surgery",SU,,N,N,N,Y,Eligible,1,0,2025-01-29,2025-01-29,2026-07-31
GWF,"Stimulator, Electrical, Evoked Response",2,882.1870,NE,Neurology,NE,,N,N,N,Y,Eligible,1,1,2026-01-11,2026-01-11,2026-07-31
GWN,Nystagmograph,2,882.1460,NE,Neurology,NE,,N,N,N,Y,Eligible,1,0,2018-09-28,2018-09-28,2026-07-31
GYD,"Transducer, Tremor",2,882.1950,NE,Neurology,NE,,N,N,N,Y,Eligible,1,0,2023-03-17,2023-03-17,2026-07-31
HGM,"System, Monitoring, Perinatal",2,884.2740,OB,Obstetrics/Gynecology,OB,,N,N,N,Y,Ineligible,1,0,2025-01-10,2025-01-10,2026-07-31
IZL,"System, X-Ray, Mobile",2,892.1720,RA,Radiology,RA,,N,N,N,Y,Eligible,1,0,2022-02-04,2022-02-04,2026-07-31
JFY,"Enzymatic Method, Creatinine",2,862.1225,CH,Clinical Chemistry,CH,,N,N,N,Y,Eligible,1,0,2019-07-26,2019-07-26,2026-07-31
JIL,"Method, Enzymatic, Glucose (Urinary, Non-Quantitative)",2,862.1340,CH,Clinical Chemistry,CH,,N,N,N,Y,Eligible,1,0,2018-07-18,2018-07-18,2026-07-31
KWS,"Prosthesis, Shoulder, Semi-Constrained, Metal/Polymer Cemented",2,888.3660,OR,Orthopedic,OR,,Y,N,N,N,Eligible,1,0,2025-01-30,2025-01-30,2026-07-31
LDK,"Device, Sensing, Optical Contour",U,,,Unknown,PM,,N,N,N,N,Eligible,1,0,2023-10-04,2023-10-04,2026-07-31
LEL,"Device, Sleep Assessment",2,882.5050,NE,Neurology,NE,,N,N,N,N,Eligible,1,0,2024-04-03,2024-04-03,2026-07-31
LKM,"Counter, Urine Particle",2,864.5200,HE,Hematology,HE,,N,N,N,Y,Eligible,1,0,2024-05-03,2024-05-03,2026-07-31
MAX,"Intervertebral Fusion Device With Bone Graft, Lumbar",2,888.3080,OR,Orthopedic,OR,Intended to stabilize spinal segment to promote fusion in order to restrict motion and decrease pain using bone graft.,Y,N,N,N,Eligible,1,0,2025-03-21,2025-03-21,2026-07-31
MKJ,Automated External Defibrillators (Non-Wearable),3,870.5310,CV,Cardiovascular,CV,"This device is a non-wearable prescription use only aed.  These are devices that include automated external defibrillation.  Automated external defibrillators use external pad-type electrodes to sense, detect, classify and treat (with an electrical shock) ventricular fibrillation.  These devices are intended to be used on suspected victims of sudden cardiac arrest.  A person in cardiac arrest is unresponsive and is not breathing normally.  The device can be sold with prescription only.",N,N,N,N,Ineligible,1,0,2022-10-31,2022-10-31,2026-07-31
MLO,"Electrocardiograph, Ambulatory, With Analysis Algorithm",2,870.2800,CV,Cardiovascular,CV,,N,N,N,N,Eligible,1,0,2020-09-02,2020-09-02,2026-07-31
